         11521085 function calls (10993404 primitive calls) in 5.859 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1833    0.002    0.000    0.009    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/byteflow.py:319(dispatch)
     1550    0.002    0.000    0.003    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/types/functions.py:245(__init__)
    38130    0.002    0.000    0.002    0.000 {method 'values' of 'dict' objects}
4866/4695    0.002    0.000    0.005    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/values.py:455(_get_reference)
      342    0.002    0.000    0.133    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/postproc.py:71(run)
      645    0.002    0.000    0.016    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/values.py:936(__init__)
     1499    0.002    0.000    0.010    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/builder.py:769(store)
      246    0.002    0.000    0.002    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typing/templates.py:1147(make_overload_attribute_template)
     1350    0.002    0.000    0.026    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/runtime/context.py:360(_call_incref_decref)
6420/6384    0.002    0.000    0.016    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/datamodel/manager.py:29(lookup)
     2496    0.002    0.000    0.009    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/base.py:103(_match_arglist)
       38    0.002    0.000    0.022    0.001 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/byteflow.py:80(run)
     4146    0.002    0.000    0.003    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typeinfer.py:911(__getitem__)
     2316    0.002    0.000    0.010    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/values.py:1104(__init__)
      494    0.002    0.000    0.004    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/controlflow.py:578(_find_back_edges)
     3418    0.002    0.000    0.011    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/colorama/ansitowin32.py:49(isatty)
        5    0.002    0.000    0.002    0.000 {method 'readline' of '_io.BufferedReader' objects}
     5357    0.002    0.000    0.003    0.000 <frozen os>:756(encode)
6760/6502    0.002    0.000    0.008    0.000 {built-in method builtins.any}
     2316    0.002    0.000    0.004    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/values.py:1091(_to_list)
     2014    0.002    0.000    0.014    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/cpu_options.py:122(encode)
      806    0.002    0.000    0.006    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/ir.py:579(__repr__)
  477/429    0.002    0.000    0.505    0.001 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typeinfer.py:580(resolve)
     5320    0.002    0.000    0.002    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/registry.py:96(__getitem__)
       66    0.002    0.000    0.066    0.001 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/codegen.py:651(_optimize_functions)
     2301    0.002    0.000    0.011    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/instructions.py:666(__init__)
     2020    0.002    0.000    0.010    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/event.py:422(trigger_event)
      906    0.002    0.000    0.005    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/interpreter.py:1797(store)
      660    0.002    0.000    0.005    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typing/npydecl.py:25(_handle_inputs)
5453/5405    0.002    0.000    0.003    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/types/misc.py:52(unliteral)
     1445    0.002    0.000    0.078    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/values.py:1174(<listcomp>)
     7088    0.002    0.000    0.002    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/ir.py:383(__getattr__)
     3331    0.002    0.000    0.007    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/ssa.py:190(_run_ssa_block_pass)
